Diet	Korean	Korean	Korean	Korean	Korean	Korean	Western	Western	Western	Western	Western	Western
Alistipes putredinis	2596	1825	2651	5833	4401	26490	195557	253450	1529	2967	320597	294028
Alistipes sp. i18-0019-D1	2607	1442	788	523	38597	206	1608	858	578	479	6096	1201
Alistipes sp. dk3624	69	120	33	64	137	20	2916	133	81	257	510	182
Alistipes senegalensis	667	404	1553	802	2135	3826	1658	950	9031	8054	4161	1338
Parabacteroides distasonis	235090	113279	17436	15300	941336	239132	198834	139738	156702	361263	82935	72950
Parabacteroides goldsteinii	2257	3018	10637	7161	841	4613	521206	66828	537	606	3373	2901
Parabacteroides sp. CT06	11698	9716	507	471	7449	8767	75467	11786	226	1954	128134	132147
Parabacteroides sp. ASD2025	709	543	676	863	4528	967	655	734	439	864	739	489
Parabacteroides absconsus	1431	5112	82	97	594	261	147809	207796	353	977	2029	3223
Parabacteroides merdae	953	19109	5763	8527	186029	123341	127235	983276	61420	122119	476729	209193
Parabacteroides johnsonii	255	656	192	274	1306	1062	1646	2278	128	362	9955	9562
Parabacteroides faecis	34	69	1205	1385	231	180	1010	165	263	119	37	58
Parabacteroides chongii	21	15	1501	1275	551	268	1276	293	6581	1045	732	648
Tannerella forsythia	6	10	7	0	0	0	377	147	33	17	36	78
Barnesiella intestinihominis	104846	106946	21	18	609429	5249	225803	223514	362	35591	235007	98364
Barnesiella sp. An22	4548	3404	174	285	1656	2178	2679	3298	517	332	8475	8776
Barnesiella viscericola	512	386	1625	2193	1334	373	4514	4483	214	530	2514	2999
Coprobacter fastidiosus	30836	22947	591	442	54804	5869	49011	12840	61	101	166435	2489
Coprobacter secundus	1797	1234	1806	2206	15455	1291	2540	12864	2921	3675	52925	36693
Paraprevotella xylaniphila	5059	6543	1471	586	7577	5004	928	1953	3304	12681	1441	570
Paraprevotella clara	654	223	135	238	16326	697	365	484	15473	57964	239	450
Segatella copri	3153	1118	1393	1910	1347	26307	9877	36550	11774780	9442676	998	1066
Segatella hominis	41	111	29	48	130	1775	279	557	1087764	793943	151	188
Segatella oris	60	46	0	0	9	191	192	680	456	634	0	82
Prevotella sp. E9-3	173	30	8	0	21	172	144	92	565	807	34	37
Prevotella sp. Rep29	42	14	5	0	0	27	87	176	292	414	17	17
Prevotella sp. E2-28	13	9	0	0	30	75	284	137	368	409	45	69
Prevotella jejuni	270	66	0	0	730	161	76	368	2904	2649	41	32
Prevotella melaninogenica	162	70	34	0	64	177	653	962	3431	4970	3389	8647
Prevotella intermedia	96	89	13	34	58	1465	1505	1025	3922	4218	345	377
Prevotella dentalis	60	27	0	0	7	493	430	1590	459	767	8	5
Prevotella communis	46	50	6	0	42	38	192	607	499	828	29	31
Prevotella multiformis	38	15	0	0	11	34	121	499	549	527	0	0
Prevotella herbatica	23	27	0	0	23	44	500	1091	596	594	64	155
Prevotella bivia	36	37	0	38	32	586	131	293	1854	1405	32	21
Prevotella nigrescens	47	47	9	18	22	51	394	884	1009	822	28	24
Prevotella scopos	18	0	0	0	0	91	73	38	206	260	39	102
Hoylesella buccalis	255	174	0	0	138	2028	10163	30310	1076	866	183	143
Hoylesella enoeca	89	0	58	76	46	104	205	758	611	531	12	39
Muribaculum intestinale	506	359	263	241	808	30	195	221	67	56	219	212
Muribaculum gordoncarteri	33	7	0	0	95	2090	226	455	275	184	355	278
Duncaniella dubosii	7	0	2291	1015	163	119	222	98	127	32	205	125
Paramuribaculum intestinale	55	52	0	9	842	99	179	107	103	119	164	60
Sodaliphilus pleomorphus	8	6	7	0	10	35	256	861	3594	2113	25	6
Porphyromonas levii	119	46	0	0	24	49	1177	212	93	139	63	155
Porphyromonas gingivalis	48	17	19	76	32	36	160	155	154	136	57	28
Porphyromonas pogonae	28	21	0	0	31	100	179	75	10	0	29	51
Porphyromonas endodontalis	10	0	0	0	0	0	9	9	10	12	0	0
Porphyromonas somerae	6	0	0	0	52	9	16	28	68	106	166	34
Macellibacteroides fermentans	137	64	16384	11073	74	68	167	73	27	18	80	90
Petrimonas mucosa	24	79	5540	2678	0	501	31	29	314	614	945	602
Limibacterium fermenti	18	38	0	0	7	35	24	5	31	55	7	0
Dysgonomonas capnocytophagoides	11	16	0	0	23	59	19	17	6	6	26	31
Paludibacter propionicigenes	11	11	0	5	14	30	52	19	54	64	10	25
uncultured Draconibacterium sp.	21	12	10	51	9	50	42	47	10	29	0	14
Aquipluma nitroreducens	19	21	0	0	6	0	110	114	0	7	12	21
Gaoshiqia hydrogeniformans	8	0	0	0	6	6	13	11	0	0	6	10
Marinifilum fragile	16	8	0	0	0	11	20	0	0	0	5	0
Flavobacterium fluviale	105	100	0	0	0	0	0	0	0	0	0	0
Flavobacterium aquiphilum	14	22	0	0	0	0	0	0	0	0	0	0
Flavobacterium galactosidilyticum	8	7	0	0	0	0	0	0	0	8	0	0
Flavobacterium eburneipallidum	8	0	0	0	0	0	0	0	0	0	19	25
Flavobacterium limnophilum	6	0	0	0	0	0	0	0	0	6	0	0
Capnocytophaga gingivalis	22	17	0	0	0	0	0	0	0	8	21	6
Capnocytophaga cynodegmi	31	32	0	93	0	38	13	55	0	0	0	0
Flagellimonas sp.	31	35	0	10	0	8	0	0	298	246	0	6
Tenacibaculum maritimum	8	24	0	0	0	0	0	0	0	19	0	0
Tenacibaculum mesophilum	16	0	0	0	0	26	0	0	0	0	0	0
Myroides profundi	18	52	0	0	8	0	0	0	0	0	0	0
Myroides odoratimimus	9	0	25	13	0	0	0	0	0	0	0	27
Christiangramia fulva	13	11	0	52	0	30	0	26	0	0	0	0
Christiangramia salexigens	5	0	0	0	0	29	0	6	0	0	0	21
Algibacter sp. L3A6	24	22	7	0	0	0	0	0	0	0	71	23
Flavivirga abyssicola	16	0	0	0	0	19	0	15	0	0	0	0
Flavivirga eckloniae	6	0	0	19	0	0	0	0	0	5	0	0
Zobellia laminariae	7	0	0	0	0	0	0	0	0	14	0	0
Formosa sp. Hel3_A1_48	9	0	0	42	0	24	0	9	27	22	0	0
Antarcticibacterium arcticum	8	0	0	5	0	0	0	0	0	5	0	0
Flaviramulus sp. BrNp1-15	11	0	0	0	31	0	10	0	0	0	0	0
Aestuariibaculum lutulentum	6	0	0	0	0	0	0	0	5	23	0	0
Ornithobacterium rhinotracheale	165	130	447	279	20	595	207	120	204	241	126	383
Chryseobacterium sp. Chry.R1	32	70	0	0	0	0	0	0	0	0	0	0
Chryseobacterium sp. PET-29	34	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium sp. T16E-39	9	64	0	0	0	0	0	0	0	0	0	0
Chryseobacterium sp. MA9	12	0	0	0	16	0	229	86	0	8	29	120
Chryseobacterium sp. PTM-20240506	8	13	0	0	0	0	0	0	0	0	0	0
Chryseobacterium aureum	9	0	0	0	19	0	0	16	0	0	18	25
Riemerella anatipestifer	19	10	8	14	0	8	202	159	0	0	6	17
Blattabacterium cuenoti	21	19	22	37	24	268	103	83	66	44	50	46
Reichenbachiella carrageenanivorans	88	33	0	0	0	0	0	0	18	20	0	0
Hymenobacter sp. BRD67	12	0	0	0	0	0	0	0	71	13	8	11
Pontibacter korlensis	7	21	0	0	0	0	0	0	12	76	0	0
Pontibacter sp. SGAir0037	6	7	0	39	7	24	5	18	0	0	23	17
Dyadobacter sp. 676	15	0	0	0	0	13	33	9	0	0	46	90
Algoriphagus sp. NG3	7	0	0	0	0	0	12	0	0	0	0	0
Spirosoma radiotolerans	5	0	0	0	0	17	12	0	0	0	0	0
Cytophaga hutchinsonii	7	13	0	0	0	0	0	0	78	51	0	0
Fulvivirga lutea	15	5	0	0	0	0	0	0	0	0	0	0
Aureibacter tunicatorum	11	11	0	0	0	0	7	0	0	0	14	21
Pedobacter sp.	65	109	0	0	27	0	0	0	0	0	0	0
Pedobacter endophyticus	17	36	0	0	0	0	14	9	0	0	0	20
Sphingobacterium zhuxiongii	25	67	0	0	0	0	8	23	0	0	0	0
Sphingobacterium bambusae	16	14	0	0	0	6	9	16	0	7	0	0
Mucilaginibacter sp. NFX135	11	7	0	0	0	9	0	0	0	0	0	0
Mucilaginibacter sp. CSA2-8R	6	7	0	0	12	0	57	15	0	0	0	0
Mucilaginibacter sp. SMC90	10	12	0	0	8	0	9	8	342	72	0	0
Mucilaginibacter sp.	5	0	0	0	0	0	8	0	0	0	0	0
Olivibacter sp. SDN3	19	11	0	0	0	0	0	0	88	48	0	0
Pseudopedobacter saltans	9	6	0	0	15	10	0	0	0	0	22	17
Aurantibacillus circumpalustris	17	18	0	0	0	0	0	0	0	0	0	0
Chitinophaga sancti	67	30	0	0	24	0	0	72	16	36	0	0
Chitinophaga niabensis	40	53	0	0	0	0	0	0	0	15	0	0
Chitinophaga sp. MM2321	6	0	22	0	0	0	37	12	23	15	0	14
Niabella ginsenosidivorans	5	0	0	0	0	0	7	0	0	0	0	0
Haliscomenobacter hydrossis	10	11	0	0	0	0	15	7	0	8	6	0
Prosthecochloris sp. HL-130-GSB	8	15	9	0	0	6	0	8	0	0	0	47
Gracilimonas sp.	14	16	0	0	0	0	9	15	0	5	14	0
Klebsiella pneumoniae	1326	0	0	207	63	0	188	1571	2826	1555	0	4367
Klebsiella oxytoca	70	0	0	12	5	10	37	61	21	0	0	17
Klebsiella michiganensis	141	0	0	0	0	0	0	15	68	25	0	45
Klebsiella aerogenes	16	0	0	0	0	0	0	0	0	0	0	0
Escherichia coli	4352	3203	4461	2792	121240	1241	673	1557	2966	384	9521	33163
Escherichia fergusonii	11	0	0	0	24	0	0	0	0	0	0	11
Escherichia albertii	7	47	0	0	142	0	0	276	0	0	7	39
Leclercia pneumoniae	164	0	0	0	0	0	0	0	0	0	0	0
Leclercia adecarboxylata	131	0	0	0	0	0	0	0	0	0	8	0
Citrobacter freundii	264	87	0	0	66	87	209	125	0	0	0	387
Enterobacter cancerogenus	28	0	0	0	8	0	0	91	0	0	0	8
Enterobacter hormaechei	233	0	59	0	0	0	0	1619	0	0	557	4794
Enterobacter roggenkampii	10	0	0	0	0	0	26	22	0	0	0	194
Kluyvera ascorbata	186	0	0	0	0	0	0	0	0	0	0	0
Kluyvera sichuanensis	13	0	0	0	0	0	0	0	0	0	0	0
Plesiomonas shigelloides	12	0	0	0	0	0	0	0	31	15	0	0
Salmonella enterica	669	0	0	0	4104	1536	924	1549	0	3761	417	797
Buttiauxella selenatireducens	6	0	0	0	0	0	0	0	0	9	0	0
Erwinia tracheiphila	40	24	0	0	0	0	0	0	0	0	0	0
Candidatus Erwinia haradaeae	10	7	0	0	0	0	0	0	398	122	0	0
Pantoea vagans	9	0	0	0	0	0	0	0	0	0	5	10
Pantoea ananatis	10	0	0	0	0	11	0	0	0	0	0	0
Paramixta manurensis	10	11	0	0	0	0	0	0	0	0	0	0
Buchnera aphidicola	9	20	35	16	19	85	61	117	456	195	15	9
Serratia sp. JSRIV001	11	0	0	0	0	0	0	0	0	0	0	0
Hafnia alvei	11	7	0	0	0	5	8	0	0	0	17	0
Obesumbacterium proteus	11	0	0	0	0	0	0	0	0	0	23	0
Haemophilus parainfluenzae	3438	132	1057	17360	135	197	24	1203	6424	1070	5925	4793
Haemophilus influenzae	43	0	43	346	0	0	0	0	1294	283	94	65
Haemophilus haemolyticus	18	0	8	139	0	0	0	15	48	0	57	30
Haemophilus sp. oral taxon 036	16	0	0	21	0	0	0	0	0	0	0	0
Aggregatibacter aphrophilus	33	0	0	233	0	0	7	18	51	0	0	12
Mergibacter septicus	18	11	0	0	0	20	0	0	9	0	0	5
Colwellia sp. PAMC 20917	37	30	0	0	33	65	74	29	0	12	5	5
Shewanella sp. MTB7	6	0	0	0	0	0	0	0	0	0	0	0
Shewanella glacialimarina	12	7	0	0	0	14	0	0	0	0	9	12
Pseudoalteromonas carrageenovora	9	0	0	0	9	0	0	0	0	0	0	0
Pseudomonas syringae	9	0	0	0	0	0	22	56	90	116	17	32
Pseudomonas kurunegalensis	40	25	0	0	0	0	0	0	0	0	0	0
Pseudomonas putida	17	38	26	29	0	71	123	108	0	62	0	0
Pseudomonas aeruginosa	36	0	26	0	12	79	169	142	871	210	53	73
Marinobacter sp. GH_1	14	0	0	0	0	0	0	0	0	0	0	0
Vibrio penaeicida	52	12	100	101	11	0	0	6	0	0	0	0
Vibrio sp. SCSIO 43135	8	0	5	0	0	6	0	0	25	12	0	0
Vibrio sp. STUT-A16	15	0	0	33	0	0	0	0	0	0	0	0
Vibrio gallaecicus	10	15	0	0	0	0	0	0	0	10	0	0
Vibrio splendidus	8	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter towneri	66	0	0	0	0	79	0	0	0	0	0	0
Acinetobacter venetianus	8	0	0	0	0	0	0	0	0	0	0	0
Moraxella bovis	9	14	0	0	0	0	0	0	0	0	0	0
Moraxella bovoculi	9	8	0	0	0	0	0	0	360	128	0	10
Legionella antarctica	95	0	0	25	0	13	0	5	0	0	0	0
Halomonas sp. BM-2019	7	0	0	0	38	0	0	36	0	0	0	24
Halomonas alkaliantarctica	8	0	0	0	12	0	0	0	0	0	0	0
Alloalcanivorax venustensis	14	6	0	0	0	0	125	0	0	0	0	0
Gynuella sunshinyii	11	0	0	5	0	6	0	0	15	0	0	12
Endozoicomonas euniceicola	9	0	0	0	0	0	0	7	0	0	0	0
Xanthomonas tesorieronis	16	26	11	14	0	0	0	0	0	0	0	0
Stenotrophomonas maltophilia	12	0	0	0	0	0	32	16	0	0	0	0
Methylomonas sp. AM2-LC	12	0	0	0	0	0	0	0	0	0	0	0
Methylomicrobium lacus	6	0	0	0	0	0	0	0	0	0	0	5
Francisella orientalis	6	0	0	0	0	0	0	0	0	0	0	0
Candidatus Thiodictyon syntrophicum	9	0	0	0	0	18	33	25	15	6	7	6
Gilliamella apis	7	0	0	5	0	16	25	18	14	11	0	7
Ignatzschineria rhizosphaerae	10	7	0	39	0	25	7	23	0	0	0	0
Candidatus Reidiella endopervernicosa	8	0	0	0	0	0	0	0	11	0	0	0
Oxalobacter aliiformigenes	1743	1566	0	0	10	1292	1819	2394	30	52	3041	3182
Turicimonas muris	929	566	0	0	6081	347	28	20	9	19	745	1237
Sutterella megalosphaeroides	23	0	0	0	41	0	17	26	795	1492	7	18
Duodenibacillus massiliensis	22	0	0	0	227	8	55	246	26253	1868	13	32
Burkholderia cenocepacia	63	62	0	0	0	0	0	0	0	42	0	0
Burkholderia contaminans	16	10	0	0	0	0	0	0	0	0	0	0
Polynucleobacter asymbioticus	8	5	6	0	10	0	0	8	0	0	0	0
Polynucleobacter paneuropaeus	8	11	0	0	0	0	0	0	0	0	0	0
Paraburkholderia sabiae	34	0	11	0	0	13	0	0	0	0	0	17
Variovorax sp. PBL-E5	39	0	0	0	0	0	96	0	0	0	0	0
Variovorax paradoxus	35	14	0	0	0	25	0	30	0	56	25	19
Rhodoferax lithotrophicus	9	8	0	0	0	0	0	7	0	0	6	22
Rhodoferax aquaticus	7	0	0	0	0	0	0	0	27	20	0	0
Alcaligenes faecalis	16	0	0	0	0	14	0	29	0	77	0	18
Taylorella equigenitalis	11	6	0	0	0	0	0	0	0	0	0	0
Ampullimonas aquatilis	10	7	0	0	0	0	0	0	0	0	0	0
Basilea psittacipulmonis	5	0	0	0	0	0	0	0	0	0	0	0
Paucibacter sp. KCTC 42545	10	0	0	0	0	0	0	0	0	0	8	7
Roseateles chitinivorans	20	0	0	0	0	0	0	0	0	0	0	10
Inhella inkyongensis	23	9	0	0	0	0	0	0	0	0	13	20
Neisseria bacilliformis	26	0	0	0	0	0	0	0	0	0	10	30
Vitreoscilla filiformis	39	17	0	0	0	0	0	0	0	0	13	26
Eikenella exigua	21	0	0	0	0	0	0	0	0	0	0	26
Paludibacterium yongneupense	11	7	0	0	0	0	0	0	0	0	0	0
Chitinivorax sp. PXF-14	42	15	0	0	0	0	0	0	0	0	0	12
Nitrogeniibacter aestuarii	10	8	0	0	0	0	0	17	0	0	9	10
Bradyrhizobium sp. STM 3557	15	17	0	0	0	0	0	28	0	7	0	0
Bradyrhizobium sp. BWC-3-1	25	0	30	0	0	0	0	0	0	0	0	0
Methylocystis rosea	31	29	0	0	0	0	7	0	0	0	0	0
Bauldia sp.	20	23	0	0	0	0	0	0	0	0	0	0
Roseibium album	7	6	0	35	0	18	0	17	0	0	0	0
Komagataeibacter oboediens	109	492	110	132	303	68	236	687	14	25	60	335
Ruegeria conchae	12	7	0	0	0	0	0	0	18	50	0	0
Antarctobacter heliothermus	10	0	0	0	0	0	0	0	0	0	0	0
Yoonia algicola	8	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. HDW15A	10	0	0	0	0	0	0	0	0	0	6	0
Phenylobacterium sp. LH3H17	29	5	0	0	0	0	0	0	0	0	0	0
Varunaivibrio sulfuroxidans	10	0	0	5	14	6	27	12	0	0	9	33
Thalassospira lucentensis	5	0	0	0	36	0	0	11	0	0	6	0
Pseudemcibacter aquimaris	8	11	0	0	16	0	19	23	0	0	6	6
Acidithiobacillus ferrivorans	5	0	0	0	0	0	0	0	0	0	0	0
Bilophila wadsworthia	16182	8132	5	22	3295	413	644	858	188	2156	15327	28399
Desulfovibrio piger	168	87	630	922	7630	10	73	83	19	10	25	9
Maridesulfovibrio sp.	6	8	13	13	0	17	72	138	15	12	26	66
Desulfobulbus oralis	65	28	0	0	0	0	0	0	0	0	0	0
Desulfotalea psychrophila	5	0	0	6	0	0	0	0	0	0	8	39
Syntrophotalea acetylenivorans	17	14	12	29	0	0	0	0	0	0	0	0
Desulforapulum autotrophicum	14	11	0	0	0	0	5	7	0	0	5	0
Desulfonema limicola	7	6	56	28	0	12	11	13	0	0	17	42
Treponema vincentii	161	230	119	79	35	24	29	34	0	0	167	52
Treponema medium	82	110	49	52	10	0	10	14	0	7	101	23
Treponema denticola	97	252	104	115	74	50	58	59	15	27	312	108
Treponema peruense	20	15	11	22	15	11	22	13	0	5	0	5
Treponema bryantii	10	5	26	26	7	39	94	38	0	13	0	11
Treponema ruminis	9	0	21	56	7	33	0	14	0	11	0	0
Borrelia sp. A-FGy1	79	66	19	25	0	0	0	0	0	0	0	26
Salinispira pacifica	11	14	5	11	8	0	0	0	0	0	29	0
Marispirochaeta aestuarii	7	15	0	0	5	7	0	7	0	5	5	0
Brachyspira intermedia	76	0	0	123	0	13	18	51	0	0	0	0
Campylobacter fetus	20	80	9	14	23	46	11	0	0	0	25	11
Campylobacter concisus	13	9	60	159	0	0	0	68	199	19	0	9
Campylobacter ureolyticus	8	42	0	0	260	12	0	0	0	0	267	282
Campylobacter jejuni	37	0	0	0	0	118	0	42	0	45	0	16
Aliarcobacter cryaerophilus	15	38	7	0	0	0	10	0	35	0	10	0
Halarcobacter anaerophilus	7	0	0	15	0	0	0	0	0	0	0	5
Halarcobacter sp.	6	0	0	0	0	0	0	0	0	0	0	6
Sulfurimonas sp.	10	0	0	0	0	0	0	0	0	0	0	0
Sulfurimonas marina	9	0	0	0	0	24	0	9	0	0	0	13
Helicobacter pullorum	5	0	9	11	7	22	34	13	0	0	18	36
Helicobacter apodemus	5	0	0	0	0	0	0	0	0	0	0	0
Sulfurovum sp. NBC37-1	11	24	0	0	0	0	6	0	0	0	0	0
Nitratifractor salsuginis	6	0	0	0	0	0	0	0	0	0	0	0
Akkermansia sp. JRP_AM1	108	224	48	270	518	0	196	71	0	0	222	131
Akkermansia muciniphila	40	1170	17	12	477	1240	34951	113806	118	133	128229	2900
Stieleria maiorica	17	14	0	0	0	0	0	0	0	0	0	0
Fuerstiella marisgermanici	6	12	0	0	0	0	0	0	0	0	0	5
Paludisphaera borealis	6	0	0	0	0	0	0	7	0	0	0	0
Lentisphaera profundi	5	0	0	0	0	9	0	0	5	0	19	0
Pigmentibacter sp. JX0631	16	17	0	0	15	0	0	0	5	0	0	0
Archangium violaceum	6	8	0	11	0	6	0	0	0	0	17	19
Vulgatibacter incomptus	6	0	0	5	0	0	0	0	0	0	22	0
Calditerrivibrio nitroreducens	8	0	0	0	0	0	0	0	0	0	0	0
Mucispirillum schaedleri	5	12	17	0	7	8	44	10	0	0	0	0
Thermodesulfovibrio obliviosus	5	0	0	0	0	48	0	19	0	0	0	5
Agathobacter rectalis	397869	929091	95618	558460	96241	621080	131235	532695	139587	162007	22703	33115
Blautia wexlerae	147367	299383	352289	728282	25580	143281	74973	121363	60664	143663	30718	552968
Blautia obeum	55128	96944	51325	55154	35170	25621	11961	39183	11892	35402	232027	109421
Blautia hydrogenotrophica	4213	6589	437	989	32781	744	421	764	493	1377	8659	10000
Blautia luti	4399	8738	7796	14392	14385	19861	2063	18263	13893	17615	2782	14459
Blautia massiliensis (ex Durand et al. 2017)	18006	31584	30605	53929	46402	57791	15526	17190	30317	16462	57125	63148
Blautia sp. SC05B48	4564	7236	14230	28292	9260	11497	2042	5439	8205	4150	14250	12506
Blautia producta	1214	2041	1484	1960	2152	1523	717	1762	703	704	5076	3798
Blautia hansenii	612	675	1372	2960	771	2753	1064	938	387	485	1578	1860
Blautia argi	403	545	484	560	780	760	576	588	263	235	389	671
Blautia pseudococcoides	198	287	150	215	167	389	223	211	57	86	378	366
Blautia liquoris	186	277	194	232	188	292	83	186	106	137	102	148
Blautia parvula	196	227	305	1129	197	197	232	127	79	47	158	1578
[Ruminococcus] torques	97808	133205	31579	97389	215211	60913	41212	34354	35255	82796	71443	278234
[Ruminococcus] lactaris	48534	38934	6512	11076	1561	9056	1124	1457	1132	1546	1447	5331
Mediterraneibacter gnavus	20403	30188	31452	49783	282906	32993	14524	1252402	10128	13511	44862	316632
Mediterraneibacter faecis	10713	18386	12039	41419	30768	8692	3563	20224	23195	56086	8627	24616
Mediterraneibacter glycyrrhizinilyticus	374	630	2278	5216	392	2036	9926	2196	198	554	889	10827
Anaerobutyricum hallii	78670	198428	48476	124983	208763	69912	2707	56664	27939	25165	75469	137072
Dorea longicatena	52093	77038	82312	123510	74440	61096	15561	147006	71341	36650	63257	100806
Dorea formicigenerans	21425	35438	17567	33130	14966	32691	3424	19697	14352	24531	32962	45360
Dorea amylophila	7276	12349	4417	5763	4246	6862	2255	5598	3407	4318	6751	9879
Roseburia intestinalis	43281	143860	62632	56936	11090	256407	137567	116295	14223	15106	47214	477805
Roseburia hominis	26943	19378	19646	19426	9542	30289	52234	311781	5959	7878	16437	57926
Roseburia faecis	3217	37034	278013	244644	51641	27351	21781	81567	4022	4578	20200	292534
Roseburia rectibacter	3306	3494	2096	2298	813	11737	4321	4523	1653	2799	1039	7039
Roseburia sp. 831b	865	1213	1578	1963	521	2880	903	1513	495	871	493	1633
